participant_id,condition,channel_set,epoch_index,alpha_power_8_12,n_channels
sub-033,EyesClosed,oz,5,-9.624723829015748,1
sub-033,EyesOpen,oz,0,-11.0288671956725,1
sub-033,EyesOpen,oz,1,-10.903065036238242,1
sub-033,EyesOpen,oz,2,-10.401043822160036,1
sub-033,EyesOpen,oz,3,-10.416885887662405,1
sub-033,EyesOpen,oz,4,-10.644809060603468,1
sub-033,EyesOpen,oz,5,-10.502825309850138,1
sub-034,EyesClosed,oz,0,-10.778756697155318,1
sub-034,EyesClosed,oz,1,-10.709461914064214,1
sub-034,EyesClosed,oz,2,-10.830374586653383,1
sub-034,EyesClosed,oz,3,-10.903275814050378,1
sub-034,EyesClosed,oz,4,-10.870523331161285,1
sub-034,EyesClosed,oz,5,-10.801867938398917,1
sub-034,EyesOpen,oz,0,-11.39192781572358,1
sub-034,EyesOpen,oz,1,-11.244928004148857,1
sub-034,EyesOpen,oz,2,-11.427335466483346,1
sub-034,EyesOpen,oz,3,-11.288069885172012,1
sub-034,EyesOpen,oz,4,-11.435638180777929,1
sub-034,EyesOpen,oz,5,-11.17057051873765,1
sub-035,EyesClosed,oz,0,-11.266085340000727,1
sub-035,EyesClosed,oz,1,-10.829479387518536,1
sub-035,EyesClosed,oz,2,-10.765722450613266,1
sub-035,EyesClosed,oz,3,-11.513387139537041,1
sub-035,EyesClosed,oz,4,-11.953638199924029,1
sub-035,EyesClosed,oz,5,-11.97275815341456,1
sub-035,EyesOpen,oz,0,-11.831670922655151,1
sub-035,EyesOpen,oz,1,-11.880066528496831,1
sub-035,EyesOpen,oz,2,-11.932420383396009,1
sub-035,EyesOpen,oz,3,-11.808762463531128,1
sub-035,EyesOpen,oz,4,-11.816149298505582,1
sub-035,EyesOpen,oz,5,-11.864585550002086,1
sub-036,EyesClosed,oz,0,-11.08936824812328,1
sub-036,EyesClosed,oz,1,-11.008099509987499,1
sub-036,EyesClosed,oz,2,-11.216576323548393,1
sub-036,EyesClosed,oz,3,-11.054344671615722,1
sub-036,EyesClosed,oz,4,-11.242765227900053,1
sub-036,EyesClosed,oz,5,-11.219914256097791,1
sub-036,EyesOpen,oz,0,-11.31231835833047,1
sub-036,EyesOpen,oz,1,-11.365904287040587,1
sub-036,EyesOpen,oz,2,-11.369490293425772,1
sub-036,EyesOpen,oz,3,-11.410885910131398,1
sub-036,EyesOpen,oz,4,-11.42705296703123,1
sub-036,EyesOpen,oz,5,-11.44189770778047,1
sub-037,EyesClosed,oz,0,-9.815620166578476,1
sub-037,EyesClosed,oz,1,-9.827450607267817,1
sub-037,EyesClosed,oz,2,-9.747610609058155,1
sub-037,EyesClosed,oz,3,-9.763827512056546,1
sub-037,EyesClosed,oz,4,-9.838738222415714,1
sub-037,EyesClosed,oz,5,-9.87764463225634,1
sub-037,EyesOpen,oz,0,-10.595005967945603,1
sub-037,EyesOpen,oz,1,-10.301585296507659,1
sub-037,EyesOpen,oz,2,-10.435983727679185,1
sub-037,EyesOpen,oz,3,-10.734871866228959,1
sub-037,EyesOpen,oz,4,-10.35180576444815,1
sub-037,EyesOpen,oz,5,-10.140508485887853,1
sub-038,EyesClosed,oz,0,-10.801946071150741,1
sub-038,EyesClosed,oz,1,-11.282839242784286,1
sub-038,EyesClosed,oz,2,-10.790263070564698,1
sub-038,EyesClosed,oz,3,-11.183620499974143,1
sub-038,EyesClosed,oz,4,-10.952914202820011,1
sub-038,EyesClosed,oz,5,-11.178467815731768,1
sub-038,EyesOpen,oz,0,-11.710455238666315,1
sub-038,EyesOpen,oz,1,-11.865872035113716,1
sub-038,EyesOpen,oz,2,-11.743741969741306,1
sub-038,EyesOpen,oz,3,-11.805853982187191,1
sub-038,EyesOpen,oz,4,-11.691827432700874,1
sub-038,EyesOpen,oz,5,-11.762168779671027,1
sub-039,EyesClosed,oz,0,-11.48109764876633,1
sub-039,EyesClosed,oz,1,-11.133500662599907,1
sub-039,EyesClosed,oz,2,-11.074624189154939,1
sub-039,EyesClosed,oz,3,-11.013439070217844,1
sub-039,EyesClosed,oz,4,-10.923816696253702,1
sub-039,EyesClosed,oz,5,-11.013843796284707,1
sub-039,EyesOpen,oz,0,-11.39978552303296,1
sub-039,EyesOpen,oz,1,-11.603808718752221,1
sub-039,EyesOpen,oz,2,-11.380268971848576,1
sub-039,EyesOpen,oz,3,-11.484291756885915,1
sub-039,EyesOpen,oz,4,-11.50192439483585,1
sub-039,EyesOpen,oz,5,-11.564359818756337,1
sub-040,EyesClosed,oz,0,-11.700088010930207,1
sub-040,EyesClosed,oz,1,-11.819349485133335,1
sub-040,EyesClosed,oz,2,-11.837584396090415,1
sub-040,EyesClosed,oz,3,-11.916146403868193,1
sub-040,EyesClosed,oz,4,-11.903727113961855,1
sub-040,EyesClosed,oz,5,-11.942471202898071,1
sub-040,EyesOpen,oz,0,-11.60053093332934,1
sub-040,EyesOpen,oz,1,-11.763620973323462,1
sub-040,EyesOpen,oz,2,-11.767465637354212,1
sub-040,EyesOpen,oz,3,-11.827389225461504,1
sub-040,EyesOpen,oz,4,-11.564349558539403,1
sub-040,EyesOpen,oz,5,-11.68978691598531,1
sub-041,EyesClosed,oz,0,-10.689668023873391,1
sub-041,EyesClosed,oz,1,-10.65297475805832,1
sub-041,EyesClosed,oz,2,-10.77086654500501,1
sub-041,EyesClosed,oz,3,-10.722305758541323,1
sub-041,EyesClosed,oz,4,-10.939764822784422,1
sub-041,EyesClosed,oz,5,-10.578914036864452,1
sub-041,EyesOpen,oz,0,-10.855053137967326,1
